Year,State,Crop_Name,Season,Area,Production,Water Quality,Rainfall,Fertilizer(UREA),Minimum Selling Price,Yield
2012,Andaman and Nicobar Islands,RICE,Kharif,9611.719477,28441.43714,0,2014,205,1250,2.959037372
2012,Andhra Pradesh,RICE,Kharif,2325729,7569071,7.5,857,1150000,1250,3.254493967
2012,Arunachal Pradesh,RICE,Kharif,126085,174662,0,2325.6,240,1250,1.38527184
2012,Assam,RICE,Kharif,2497596,4408424,6.7,1874.8,82650,1250,1.765066888
2012,Bihar,RICE,Kharif,3350936,8237971,7.7,924.4,660000,1250,2.458408934
2012,Chandigarh,RICE,Kharif,66.66666667,300.25,7.1,360.7,0,1250,4.50375
2012,Chhattisgarh,RICE,Kharif,3982172,7848401,7.6,1265.4,340000,1250,1.970884482
2012,Dadra and Nagar Haveli,RICE,Kharif,10220,19653,7.3,815.9,210,1250,1.922994129
2012,Goa,RICE,Kharif,18045,47789,0,2839.3,2550,1250,2.648323635
2012,Gujarat,RICE,Kharif,808100,1668500,7.5,706.7,690000,1250,2.064719713
2012,Haryana,RICE,Kharif,1206435,3628000,0,360.7,495000,1250,3.007207185
2012,Himachal Pradesh,RICE,Kharif,80055,118301,7.6,686.3,10000,1250,1.477742571
2012,Jammu and Kashmir,RICE,Kharif,251563.05,479638.7535,0,523,25500,1250,1.65141022
2012,Jharkhand,RICE,Kharif,1288742.197,2171586.418,0,908.3,121000,1250,1.68504331
2012,Karnataka,RICE,Kharif,1539066,4473972,0,359.3,500000,1250,2.906939663
2012,Kerala,RICE,Kharif,213186.5,522348.71,5.6,1535.6,53000,1250,2.450196002
2012,Madhya Pradesh,RICE,Kharif,1573535,1766596,7.7,990.9,493594,1250,1.122692536
2012,Maharashtra,RICE,Kharif,1544200,2848900,7.8,459.2,775000,1250,1.84490351
2012,Manipur,RICE,Kharif,162842,385041,0,1267.6,18500,1250,2.3645067
2012,Meghalaya,RICE,Kharif,108162,204129,6.1,1874.8,2900,1250,1.887252455
2012,Mizoram,RICE,Kharif,47204,66131,6.5,1267.6,4900,1250,1.400961783
2012,Nagaland,RICE,Kharif,183330,405180,0,1267.6,555,1250,2.210112911
2012,Odisha,RICE,Kharif,4226000,6822400,7.2,1153.3,353530,1250,1.614387127
2012,Puducherry,RICE,Kharif,20014,51960,6.7,160.5,8900,1250,2.596182672
2012,Punjab,RICE,Kharif,2802000,11236000,7.3,379.6,500000,1250,4.009992862
2012,Rajasthan,RICE,Kharif,150694,222824,7.6,678,430000,1250,1.478652103
2012,Sikkim,RICE,Kharif,12270,20930,0,2056,0,1250,1.705786471
2012,Tamil Nadu,RICE,Kharif,1845553,5665258,7.6,259.5,25500,1250,3.06968047
2012,Uttar Pradesh,RICE,Kharif,5172741,10776504,7.1,366,1450000,1250,2.083325649
2012,Uttarakhand,RICE,Kharif,269237,606891,0,1073.1,60000,1250,2.254114405
2012,West Bengal,RICE,Kharif,5444318,14949665,7.4,969.9,303000,1250,2.745920609
2013,Andaman and Nicobar Islands,RICE,Kharif,9736.899464,28441.43714,0,2152.1,0,1310,2.920995256
2013,Andhra Pradesh,RICE,Kharif,2772377,7883078,7.2,1059.2,120000,1310,2.843436517
2013,Arunachal Pradesh,RICE,Kharif,131989,184104,0,1165.9,260,1310,1.39484351
2013,Assam,RICE,Kharif,2537455,5032529,6.9,1172.9,82630,1310,1.983297832
2013,Bihar,RICE,Kharif,3298887,8322010,7.8,722.2,650000,1310,2.522672041
2013,Chandigarh,RICE,Kharif,66.66666667,300.25,7.1,363.3,0,1310,4.50375
2013,Chhattisgarh,RICE,Kharif,3987721,7102729,7.7,1159.9,272000,1310,1.781149935
2013,Dadra and Nagar Haveli,RICE,Kharif,10316,18156,7.1,750.4,280,1310,1.75998449
2013,Goa,RICE,Kharif,14740,44206,0,3345.2,1900,1310,2.999050204
2013,Gujarat,RICE,Kharif,835500,1789700,7.6,1059.6,705000,1310,2.142070616
2013,Haryana,RICE,Kharif,1243281,3465000,0,363.3,430000,1310,2.786980578
2013,Himachal Pradesh,RICE,Kharif,81432,123454,7.5,748.2,13000,1310,1.477742571
2013,Jammu and Kashmir,RICE,Kharif,251755.6111,486009.9483,0,465.8,25500,1310,1.65141022
2013,Jharkhand,RICE,Kharif,1288742.197,2171586.418,0,844.5,75000,1310,1.68504331
2013,Karnataka,RICE,Kharif,1416135,4181619,0,534.9,540000,1310,2.952839242
2013,Kerala,RICE,Kharif,208159.74,564833.48,5.9,2561.2,51500,1310,2.713461691
2013,Madhya Pradesh,RICE,Kharif,1693231,2273045,7.6,1326.9,407700,1310,1.342430537
2013,Maharashtra,RICE,Kharif,1559000,3078040,7.7,543.2,793400,1310,1.974368185
2013,Manipur,RICE,Kharif,162112.5,381886.25,0,995.2,14800,1310,2.355686637
