State_Name,Crop_Year,Crop_Name,Season,Area,Production,Water Quality,Rainfall,Fertilizer(UREA),Minimum Selling Price,Yield
Andaman and Nicobar Islands,2000,RICE,Kharif,10881,32184,0,1244.2,0,510,2.957816377
Andhra Pradesh,2000,RICE,Kharif,2565400,6436200,0,965.3,0,510,2.508848523
Arunachal Pradesh,2000,RICE,Kharif,124545.7374,159860.2961,0,1650,0,510,1.283546908
Assam,2000,RICE,Kharif,2525653,2255230,0,1666.6,0,510,0.8929294721
Bihar,2000,RICE,Kharif,665467,945254,0,1047.7,0,510,1.420437077
Chandigarh,2000,RICE,Kharif,120,360,0,311.1,0,510,3
Chhattisgarh,2000,RICE,Kharif,3769746,2369295,0,887.8,0,510,0.6285025569
Dadra and Nagar Haveli,2000,RICE,Kharif,14123,24023,0,615.3,0,510,1.70098421
Goa,2000,RICE,Kharif,24690.66288,62209.21212,0,2841.2,0,510,2.519544025
Gujarat,2000,RICE,Kharif,672600,1040230,0,510.6,0,510,1.546580434
Haryana,2000,RICE,Kharif,913000,255600,0,311.1,0,510,0.2799561884
Himachal Pradesh,2000,RICE,Kharif,82125,116997,0,640,0,510,1.424621005
Jammu and Kashmir,2000,RICE,Kharif,275746,5488,0,485.9,0,510,0.01990237392
Jharkhand,2000,RICE,Kharif,1059018.28,1063091.08,0,1053.4,0,510,1.003845826
Karnataka,2000,RICE,Kharif,1426805,3656811,0,533.6,0,510,2.562936771
Kerala,2000,RICE,Kharif,352631,726743,0,1739.4,0,510,2.060916369
Madhya Pradresh,2000,RICE,Kharif,1874100,1089500,0,864.9,0,510,0.5813457126
Maharashtra,2000,RICE,Kharif,1498500,2549300,0,365.25,0,510,1.701234568
Manipur,2000,RICE,Kharif,166890,382190,0,1357.9,0,510,2.290071304
Meghalaya,2000,RICE,Kharif,105170,150101,0,1666.6,0,510,1.427222592
Mizoram,2000,RICE,Kharif,68114,110573,0,1357.9,0,510,1.623352027
Nagaland,2000,RICE,Kharif,151680,233330,0,1357.9,0,510,1.538304325
Odisha,2000,RICE,Kharif,4446713,5391322,0,937.6,0,510,1.212428596
Puducherry,2000,RICE,Kharif,24622,56601,0,100.6,0,510,2.298797823
Punjab,2000,RICE,Kharif,2281000,7904000,0,326.9,0,510,3.465146865
Rajasthan,2000,RICE,Kharif,161100,190200,0,415,0,510,1.180633147
Sikkim,2000,RICE,Kharif,15874,21957,0,2187.8,0,510,1.383205241
Tamil Nadu,2000,RICE,Kharif,2260544,6893730,0,403.9,0,510,3.049588949
Uttar Pradesh,2000,RICE,Kharif,5575729,10826634,0,712.2,0,510,1.941743223
Uttarakhand,2000,RICE,Kharif,288607,588652,0,1465.4,0,510,2.039631748
West Bengal,2000,RICE,Kharif,5900278,13236590,0,1153.9,0,510,2.243384125
Andaman and Nicobar Islands,2001,RICE,Kharif,9801,27333,0,1515.4,0,530,2.788797062
Andhra Pradesh,2001,RICE,Kharif,2780100,7687800,0,694.3,0,530,2.765296212
Arunachal Pradesh,2001,RICE,Kharif,125075.3333,162169.86,0,1147.8,0,530,1.296577476
Assam,2001,RICE,Kharif,2454122,3254833,0,1413.2,8.3,530,1.326271881
Bihar,2001,RICE,Kharif,3656844,5444370,0,949.8,0,530,1.488816586
Chandigarh,2001,RICE,Kharif,80,240,0,376.3,0,530,3
Chhattisgarh,2001,RICE,Kharif,3810112,5073721,0,1458.8,0,530,1.331646156
Dadra and Nagar Haveli,2001,RICE,Kharif,13905,27754,0,705.2,0,530,1.995972672
Goa,2001,RICE,Kharif,23925.22727,62209.21212,0,2232.7,0,530,2.600151355
Gujarat,2001,RICE,Kharif,622100,1015900,0,811.5,0,530,1.6330172
Haryana,2001,RICE,Kharif,1086694,2432000,0,376.3,0,530,2.237980517
Himachal Pradesh,2001,RICE,Kharif,80222,120635,0,622.5,0,530,1.503764553
Jammu and Kashmir,2001,RICE,Kharif,256025,391528.6,0,546.3,0,530,1.529259252
Jharkhand,2001,RICE,Kharif,2051702.68,1943553.1,0,1031.5,0,530,0.9472878887
Karnataka,2001,RICE,Kharif,1447969,3716730,0,418.9,0,530,2.56685744
Kerala,2001,RICE,Kharif,349774,770686,0,1892,0,530,2.203382756
Madhya Pradesh,2001,RICE,Kharif,1942506,2004938,0,1018.2,0,530,1.032139926
Maharashtra,2001,RICE,Kharif,1511500,1929700,0,421.64,0,530,1.276678796
Manipur,2001,RICE,Kharif,157050,364980,0,1332.6,0,530,2.323973257
Meghalaya,2001,RICE,Kharif,105402,149742,0,1413.2,0,530,1.42067513
Mizoram,2001,RICE,Kharif,68392,110813,0,1332.6,0,530,1.620262604
Nagaland,2001,RICE,Kharif,156500,237000,0,1332.6,0,530,1.514376997
Odisha,2001,RICE,Kharif,4601810,5187040,0,1433.2,0,530,1.127173873
Puducherry,2001,RICE,Kharif,24555,59433,0,90.5,0,530,2.420403177
Punjab,2001,RICE,Kharif,2519000,7940000,0,357.1,0,530,3.152044462
Rajasthan,2001,RICE,Kharif,166878,205488,0,505.7,0,530,1.231366627
Sikkim,2001,RICE,Kharif,15908,23439,0,1730.5,0,530,1.473409605
Tamil Nadu,2001,RICE,Kharif,2386399,8215286,0,149.5,0,530,3.442545023
