State_Name,Crop_Year,Crop_Name,Season,Area,Production,Rainfall,Minimum Selling Price,Yield
Andaman and Nicobar Islands,2000,RICE,Kharif,10881,32184,1244.2,510,2.957816377
Andhra Pradesh,2000,RICE,Kharif,2565400,6436200,965.3,510,2.508848523
Arunachal Pradesh,2000,RICE,Kharif,124545.7374,159860.2961,1650,510,1.283546908
Assam,2000,RICE,Kharif,2525653,2255230,1666.6,510,0.8929294721
Bihar,2000,RICE,Kharif,665467,945254,1047.7,510,1.420437077
Chandigarh,2000,RICE,Kharif,120,360,311.1,510,3
Chhattisgarh,2000,RICE,Kharif,3769746,2369295,887.8,510,0.6285025569
Dadra and Nagar Haveli,2000,RICE,Kharif,14123,24023,615.3,510,1.70098421
Goa,2000,RICE,Kharif,24690.66288,62209.21212,2841.2,510,2.519544025
Gujarat,2000,RICE,Kharif,672600,1040230,510.6,510,1.546580434
Haryana,2000,RICE,Kharif,913000,255600,311.1,510,0.2799561884
Himachal Pradesh,2000,RICE,Kharif,82125,116997,640,510,1.424621005
Jammu and Kashmir,2000,RICE,Kharif,275746,5488,485.9,510,0.01990237392
Jharkhand,2000,RICE,Kharif,1059018.28,1063091.08,1053.4,510,1.003845826
Karnataka,2000,RICE,Kharif,1426805,3656811,533.6,510,2.562936771
Kerala,2000,RICE,Kharif,352631,726743,1739.4,510,2.060916369
Madhya Pradresh,2000,RICE,Kharif,1874100,1089500,864.9,510,0.5813457126
Maharashtra,2000,RICE,Kharif,1498500,2549300,365.25,510,1.701234568
Manipur,2000,RICE,Kharif,166890,382190,1357.9,510,2.290071304
Meghalaya,2000,RICE,Kharif,105170,150101,1666.6,510,1.427222592
Mizoram,2000,RICE,Kharif,68114,110573,1357.9,510,1.623352027
Nagaland,2000,RICE,Kharif,151680,233330,1357.9,510,1.538304325
Odisha,2000,RICE,Kharif,4446713,5391322,937.6,510,1.212428596
Puducherry,2000,RICE,Kharif,24622,56601,100.6,510,2.298797823
Punjab,2000,RICE,Kharif,2281000,7904000,326.9,510,3.465146865
Rajasthan,2000,RICE,Kharif,161100,190200,415,510,1.180633147
Sikkim,2000,RICE,Kharif,15874,21957,2187.8,510,1.383205241
Tamil Nadu,2000,RICE,Kharif,2260544,6893730,403.9,510,3.049588949
Uttar Pradesh,2000,RICE,Kharif,5575729,10826634,712.2,510,1.941743223
Uttarakhand,2000,RICE,Kharif,288607,588652,1465.4,510,2.039631748
West Bengal,2000,RICE,Kharif,5900278,13236590,1153.9,510,2.243384125
Andaman and Nicobar Islands,2001,RICE,Kharif,9801,27333,1515.4,530,2.788797062
Andhra Pradesh,2001,RICE,Kharif,2780100,7687800,694.3,530,2.765296212
Arunachal Pradesh,2001,RICE,Kharif,125075.3333,162169.86,1147.8,530,1.296577476
Assam,2001,RICE,Kharif,2454122,3254833,1413.2,530,1.326271881
Bihar,2001,RICE,Kharif,3656844,5444370,949.8,530,1.488816586
Chandigarh,2001,RICE,Kharif,80,240,376.3,530,3
Chhattisgarh,2001,RICE,Kharif,3810112,5073721,1458.8,530,1.331646156
